"Date","oil price","RUB CBRF Curncy","PPIAC ","CPIAC(USA)","CPIAC(RF)","oil_price_priv","curcy_priv","curcy_t-1","Δ(curcy_t-1)","oil_price_t-1","Δ(oil_price_t)"
"06.04.2010","85.68","29.2097","184.4","217.403","320.7","94.720575539568","38.077779053467","38.090423978161","0","94.59896882494","0.12160671462831"
"07.04.2010","84.95","29.2416","184.4","217.403","320.7","93.913549160671","38.119363908903","38.077779053467","-0.012644924693468","94.720575539568","-0.80702637889688"
"08.04.2010","84.78","29.2940","184.4","217.403","320.7","93.725611510791","38.187672574257","38.119363908903","0.041584855435211","93.913549160671","-0.1879376498801"
"09.04.2010","84.63","29.3232","184.4","217.403","320.7","93.559784172662","38.225737708386","38.187672574257","0.068308665354365","93.725611510791","-0.1658273381295"
"10.04.2010","84.63","29.3232","184.4","217.403","320.7","93.559784172662","38.225737708386","38.225737708386","0.038065134128786","93.559784172662","0"
"11.04.2010","84.63","29.3232","184.4","217.403","320.7","93.559784172662","38.225737708386","38.225737708386","0","93.559784172662","0"
"12.04.2010","84.4","29.3232","184.4","217.403","320.7","93.30551558753","38.225737708386","38.225737708386","0","93.559784172662","-0.25426858513188"
"13.04.2010","84.19","28.9428","184.4","217.403","320.7","93.073357314149","37.729848084325","38.225737708386","0","93.30551558753","-0.2321582733813"
"14.04.2010","85.74","29.0294","184.4","217.403","320.7","94.78690647482","37.842739886227","37.729848084325","-0.49588962406116","93.073357314149","1.7135491606715"
"15.04.2010","86.57","29.0444","184.4","217.403","320.7","95.70448441247","37.862293893485","37.842739886227","0.11289180190246","94.78690647482","0.91757793764988"
"16.04.2010","84.79","29.0325","184.4","217.403","320.7","93.736666666667","37.846781047727","37.862293893485","0.019554007257931","95.70448441247","-1.9678177458034"
"17.04.2010","84.79","29.0325","184.8","217.29","322.3","93.94","38.055382030744","37.846781047727","-0.015512845757954","93.736666666667","0.20333333333335"
"18.04.2010","84.79","29.0325","184.8","217.29","322.3","93.94","38.055382030744","38.055382030744","0.20860098301718","93.94","0"
"19.04.2010","83.61","29.0325","184.8","217.29","322.3","92.632661870504","38.055382030744","38.055382030744","0","93.94","-1.3073381294964"
"20.04.2010","84.17","29.1969","184.8","217.29","322.3","93.25309352518","38.270875178281","38.055382030744","0","92.632661870504","0.62043165467627"
"21.04.2010","84.51","29.1381","184.8","217.29","322.3","93.629784172662","38.193800986826","38.270875178281","0.21549314753653","93.25309352518","0.37669064748201"
"22.04.2010","84.7","29.0906","184.8","217.29","322.3","93.840287769784","38.131538672301","38.193800986826","-0.07707419145467","93.629784172662","0.2105035971223"
"23.04.2010","86.18","29.1288","184.8","217.29","322.3","95.48","38.181610681035","38.131538672301","-0.062262314525469","93.840287769784","1.6397122302158"
"24.04.2010","86.18","29.1288","184.8","217.29","322.3","95.48","38.181610681035","38.181610681035","0.050072008734155","95.48","0"
"25.04.2010","86.18","29.1288","184.8","217.29","322.3","95.48","38.181610681035","38.181610681035","0","95.48","0"
"26.04.2010","85.51","29.1288","184.8","217.29","322.3","94.737697841727","38.181610681035","38.181610681035","0","95.48","-0.74230215827339"
"27.04.2010","84.02","29.0882","184.8","217.29","322.3","93.08690647482","38.128392786935","38.181610681035","0","94.737697841727","-1.6507913669065"
"28.04.2010","85","29.0623","184.8","217.29","322.3","94.172661870504","38.094443440699","38.128392786935","-0.053217894099639","93.08690647482","1.0857553956835"
"29.04.2010","85.68","29.3801","184.8","217.29","322.3","94.926043165468","38.511011094514","38.094443440699","-0.033949346235985","94.172661870504","0.75338129496403"
"30.04.2010","85.99","29.2886","184.8","217.29","322.3","95.269496402878","38.391074214954","38.511011094514","0.41656765381452","94.926043165468","0.34345323741006"
"01.05.2010","85.99","29.2886","184.8","217.29","322.3","95.269496402878","38.391074214954","38.391074214954","-0.11993687955955","95.269496402878","0"
"02.05.2010","85.99","29.2886","184.8","217.29","322.3","95.269496402878","38.391074214954","38.391074214954","0","95.269496402878","0"
"03.05.2010","88.45","29.2886","184.8","217.29","322.3","97.994964028777","38.391074214954","38.391074214954","0","95.269496402878","2.7254676258993"
"04.05.2010","84.81","29.2886","184.8","217.29","322.3","93.962158273381","38.391074214954","38.391074214954","0","97.994964028777","-4.0328057553957"
"05.05.2010","81.79","29.2982","184.8","217.29","322.3","90.616258992806","38.403657756416","38.391074214954","0","93.962158273381","-3.3458992805755"
"06.05.2010","79.28","29.6812","184.8","217.29","322.3","87.835395683453","38.905688629327","38.403657756416","0.012583541461979","90.616258992806","-2.7808633093525"
"07.05.2010","77.99","30.2971","184.8","217.29","322.3","86.40618705036","39.713001461247","38.905688629327","0.50203087291053","87.835395683453","-1.4292086330935"
"08.05.2010","77.99","30.7193","184.8","217.29","322.3","86.40618705036","40.266415128461","39.713001461247","0.8073128319206","86.40618705036","0"
"09.05.2010","77.99","30.7193","184.8","217.29","322.3","86.40618705036","40.266415128461","40.266415128461","0.55341366721366","86.40618705036","0"
"10.05.2010","80.24","30.7193","184.8","217.29","322.3","88.898992805755","40.266415128461","40.266415128461","0","86.40618705036","2.4928057553957"
"11.05.2010","80.04","30.7193","184.8","217.29","322.3","88.677410071942","40.266415128461","40.266415128461","0","88.898992805755","-0.22158273381295"
"12.05.2010","80.92","30.3609","184.8","217.29","322.3","89.652374100719","39.796629580547","40.266415128461","0","88.677410071942","0.97496402877698"
"13.05.2010","79.46","30.2048","184.8","217.29","322.3","88.034820143885","39.592015953232","39.796629580547","-0.46978554791419","89.652374100719","-1.6175539568345"
"14.05.2010","76.89","29.8597","184.8","217.29","322.3","85.187482014388","39.139663853385","39.592015953232","-0.2046136273142","88.034820143885","-2.8473381294964"
"15.05.2010","76.89","30.0575","184.8","217.29","322.3","85.187482014388","39.398937238925","39.139663853385","-0.45235209984705","85.187482014388","0"
"16.05.2010","76.89","30.0575","184.8","217.29","322.3","85.187482014388","39.398937238925","39.398937238925","0.25927338553969","85.187482014388","0"
"17.05.2010","74.11","30.0575","183.5","217.199","323.6","81.529886091127","39.574426791238","39.398937238925","0","85.187482014388","-3.6575959232614"
